link.id,resource,resource.lifestage,consumer,consumer.lifestage,link.evidence,full.source,res.genus,res.subfamily,res.family,res.order,res.class,res.category,con.genus,con.subfamily,con.family,con.order,con.class,con.category
217,Rhagionidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Rhagionidae,Diptera,Insecta,predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
218,Ptiliidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Ptiliidae,Coleoptera,Insecta,fungivore/detritivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
219,Psychodidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Psychodidae,Diptera,Insecta,hematophagous,NA,NA,Linyphiidae,Araneae,Arachnida,predator
220,Proctotrupidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Proctotrupidae,Hymenoptera,Insecta,parasitoid,NA,NA,Linyphiidae,Araneae,Arachnida,predator
221,Polydesmidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Polydesmidae,Polydesmida,Diplopoda,detritivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
222,Poduromorphia,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,NA,Collembola,,detritivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
223,Platygastridae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Platygastridae,Hymenoptera,Insecta,parasitoid,NA,NA,Linyphiidae,Araneae,Arachnida,predator
224,Phoridae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Phoridae,Diptera,Insecta,fungivore/ herbivor/detritivore/ predator.,NA,NA,Linyphiidae,Araneae,Arachnida,predator
225,Phalacridae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Phalacridae,Coleoptera,Insecta,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
226,Phaeomyiidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Phaeomyiidae,Diptera,Insecta,predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
227,Oribatida,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,NA,Oribatida,Arachnida,detritivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
228,Opomyzidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Opomyzidae,Diptera,Arachnida,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
229,Noctuidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Noctuidae,Lepidoptera,Insecta,herbivore/nectivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
230,Nabidae  ,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Nabidae,Hemiptera,Insecta,predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
231,Mymaridae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Mymaridae,Hymenoptera,Insecta,parasitoid,NA,NA,Linyphiidae,Araneae,Arachnida,predator
232,Miridae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Miridae,Hemiptera,Insecta,herbivore/predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
233,Microphysidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Microphysidae,Hemiptera,Insecta,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
234,Mesostigmata,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,NA,Mesostigmata,Arachnida,parasite/predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
235,Megaspilidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Megaspilidae,Hymenoptera,Insecta,parasitoid,NA,NA,Linyphiidae,Araneae,Arachnida,predator
236,Lycosidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Lycosidae,Araneae,Arachnida,predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
237,Longchopteridae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Longchopteridae,Diptera,Insecta,detritivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
238,Lithobius,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",Lithobius,NA,Lithobiidae,Lithobiomorpha,Chilopoda,predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
239,Linyphiidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Linyphiidae,Araneae,Arachnida,predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
240,Limoniidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Limoniidae,Diptera,Insecta,herbivore/predator/detritivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
241,Isotomidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Isotomidae,Collembola,,detritivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
242,Ichneumonoidea,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,NA,Hymenoptera,Diptera,parasitoid,NA,NA,Linyphiidae,Araneae,Arachnida,predator
243,Hemerobiidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Hemerobiidae,Neuroptera,Insecta,predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
244,Formicidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Formicidae,Hymenoptera,Insecta,scanger/predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
245,Figitidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Figitidae,Hymenoptera,Insecta,parasitoid,NA,NA,Linyphiidae,Araneae,Arachnida,predator
246,Eupelmidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Eupelmidae,Hymenoptera,Insecta,parasite,NA,NA,Linyphiidae,Araneae,Arachnida,predator
247,Eucoilidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Eucoilidae,Hymenoptera,Insecta,parasite,NA,NA,Linyphiidae,Araneae,Arachnida,predator
248,Eucharitidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Eucharitidae,Hymenoptera,Insecta,parasite,NA,NA,Linyphiidae,Araneae,Arachnida,predator
249,Ephydridae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Ephydridae,Diptera,Insecta,detritivore/herbivore/predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
250,Entomobryidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Entomobryidae,Collembola,,detritivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
251,Encyrtidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Encyrtidae,Hymenoptera,Insecta,parasite,NA,NA,Linyphiidae,Araneae,Arachnida,predator
252,Empididae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Empididae,Diptera,Insecta,"predator, scavenger, nectivore",NA,NA,Linyphiidae,Araneae,Arachnida,predator
253,Drosophilidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,Drosophilinae,Drosophilidae,Diptera,Insecta,fructivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
254,Dolichopodidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Dolichopodidae,Diptera,Insecta,predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
255,Diapriidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Diapriidae,Hymenoptera,Insecta,parasitoid,NA,NA,Linyphiidae,Araneae,Arachnida,predator
256,Delphacidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Delphacidae,Hemiptera,Insecta,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
257,Coccinellidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Coccinellidae,Coleoptera,Insecta,predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
258,Coccidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Coccidae,Hemiptera,Insecta,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
259,Curculionidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Curculionidae,Coleoptera,Insecta,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
260,Cicadellidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Cicadellidae,Hemiptera,Insecta,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
261,Chrysopidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Chrysopidae,Neuroptera,Insecta,nectivore/ predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
262,Chrysomelidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Chrysomellidae,Coleoptera,Insecta,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
263,Chrysodidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Chrysodidae,Hymenoptera,Insecta,parasites,NA,NA,Linyphiidae,Araneae,Arachnida,predator
264,Chloropidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Chloropidae,Diptera,Insecta,invertebrate,NA,NA,Linyphiidae,Araneae,Arachnida,predator
265,Chironomidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Chironomidae,Diptera,Insecta,herbivore/ detritivore/predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
266,Ceraphronidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Ceraphronidae,Hymenoptera,Insecta,fungivore/parasitoid/predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
267,Cecidomyiidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Cecidomyiidae,Diptera,Insecta,fungivore/parasitoid/predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
268,Carabidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Carabidae,Coleoptera,Insecta,predator/herbivore/omnivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
269,Asteiidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Asteiidae,Diptera,Insecta,fungivore/herbivore/scavenger,NA,NA,Linyphiidae,Araneae,Arachnida,predator
270,Arionidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Arionidae,Stylommatophora,Gastropoda,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
271,Apidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Apidae,Hymenoptera,Insecta,nectivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
272,Aphididae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Aphididae,Hemiptera,Insecta,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
273,Aphelinidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Aphelinidae,Hymenoptera,Insecta,parasite,NA,NA,Linyphiidae,Araneae,Arachnida,predator
274,Anthomyiidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Anthomyiidae,Diptera,Insecta,herbivore/detritivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
275,Anthocoridae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Anthocoridae,Hemiptera,Insecta,predator,NA,NA,Linyphiidae,Araneae,Arachnida,predator
276,Agromyzidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Agromyzidae,Diptera,Insecta,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
277,Aeolothripidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Aeolothripidae,Thysanoptera,Insecta,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
278,Acanthosomatidae,,Linyphiidae,,observed-gut/stomach analysis,"Cuff, J.,  Windsor, F.,  Symondson, W., Tercel, M.,  Bell, J. and  Vaughan, I. 2023. Temporal variation in spider trophic interactions is explained by the influence of weather on prey communities, web building and prey choice.Ecography: e06737 doi: 10.1111/ecog.06737",NA,NA,Acanthosomatidae,Hemiptera,Insecta,herbivore,NA,NA,Linyphiidae,Araneae,Arachnida,predator
279,,,Erigone vagans,,,,,,,,,,Erigone,NA,Linyphiidae,Araneae,Arachnida,predator
280,Sinella curviseta,,Erigone longipalpis,,observed,"Dahirel  M.,  Wullschleger, M, Berry, T.,   Croci, S  and  Petillon, J. 2023. Dispersal syndrome and landscape fragmentation in the salt-marsh specialist spider Erigone longipalpis. Current Zoology, 2023, 69, 21–31",Sinella,NA,Entomobryidae,Colembolla,Insecta,detritivore,Erigone,NA,Linyphiidae,Araneae,Arachnida,predator
281,Aphis fabae,,Erigone,,observed-gut/stomach analysis,"Traugott, M. and Symondson, W. 2008. Molecular analysis of predation on parasitized hosts.Bulletin of Entomological Research, 98, 223–231. doi:10.1017/S0007485308005968",Aphis,NA,Aphidae,Hemiptera,Insecta,herbivore,Erigone,NA,Linyphiidae,Araneae,Arachnida,predator
282,Drosophila melanogaster,,Erigone,,observed,"Toft, S. 1995. Value of the Aphid Rhopalosiphum padi as Food for Cereal Spiders. Journal of Applied Ecology , Aug., 1995, Vol. 32, No. 3 , pp. 552-560 ", Drosophila,Drosophilinae,Drosophilidae,Diptera,Insecta,fructivore,Erigone,NA,Linyphiidae,Araneae,Arachnida,predator
283,Rhopalosiphum padi,,Erigone,,observed,"Toft, S. 1995. Value of the Aphid Rhopalosiphum padi as Food for Cereal Spiders. Journal of Applied Ecology , Aug., 1995, Vol. 32, No. 3 , pp. 552-560 ",Rhopalosiphum,NA,Aphididae,Hemiptera,Insecta,herbivore,Erigone,NA,Linyphiidae,Araneae,Arachnida,predator
